shopId,shopName,shopLatitude,shopLongitude,SDAddress,SDCategory,SDConsumption,SDTelephone,SDRate,SDDeliciousRate,SDServiceRate,SDEnvRate,SDRateCount,SDWatchCount,SDBookmarkCount,shopUrl
1049384,晶英酒店-靓紅樓港式飲茶餐廳,24.75485240954,121.75071100977999,宜蘭縣宜蘭市民權路二段38巷6號4樓,粵菜 港式飲茶,781,03-932-4288,35,10,5,5,1,2748,3,http://www.ipeen.com.tw/shop/1049384
581191,燒馬蛋,24.75786970774,121.75480881151,宜蘭縣宜蘭市聖後街東門夜市,其他小吃,20,None,35,15,10,5,1,5758,2,http://www.ipeen.com.tw/shop/581191
620960,韓國沙茶魷魚,24.76051501825,121.75269401172001,宜蘭縣宜蘭市舊城北路146號,麵攤、麵店,73,None,40,15,15,15,2,3789,2,http://www.ipeen.com.tw/shop/620960
623982,TODO元氣の早午餐,24.634477319280002,121.79190211014,宜蘭縣冬山鄉冬山路108號,西式早餐,74,03-959-5277,40,15,15,5,2,6248,2,http://www.ipeen.com.tw/shop/623982
32141,丹堤咖啡研磨專賣店-Dante-Coffee-宜蘭宜中店,24.746877001210002,121.74276500418,宜蘭縣宜蘭市宜中路100號,複合式,85,03-933-3885,40,10,15,15,2,11630,2,http://www.ipeen.com.tw/shop/32141
94309,翠峰山屋-Cueifong-Villa,24.54982061382,121.51416150883,宜蘭縣大同鄉翠峰34號,台菜餐廳,NULL,0963-357-199,35,5,10,10,1,10547,2,http://www.ipeen.com.tw/shop/94309
89294,大碗公牛肉麵,24.822904019680003,121.77035800857,宜蘭縣礁溪鄉礁溪路四段172號,麵食點心,72,039-885004,35,12,7,9,3,11033,2,http://www.ipeen.com.tw/shop/89294
39150,淡藍海岸COFFEE-SHOP,24.57746501264,121.86974100098,宜蘭縣蘇澳鎮南建里學府路11號2樓,景觀餐廳,190,03-995-5475,35,10,15,15,1,29362,2,http://www.ipeen.com.tw/shop/39150
1027250,香聚,24.74668021153,121.74254610837,宜蘭縣宜蘭市宜中路67號,海鮮餐廳,198,03-932135,35,10,5,10,1,3062,2,http://www.ipeen.com.tw/shop/1027250
961130,無名早餐,24.78717881574,121.75976460010993,宜蘭縣礁溪鄉吳沙村育英路46號,中式早餐,30,None,35,15,15,10,1,5192,2,http://www.ipeen.com.tw/shop/961130
998300,佳佳牛排,24.746836916670002,121.74986081684999,宜蘭縣宜蘭市農權路246號,法式料理,NULL,03-936-0246,35,10,10,10,2,4903,2,http://www.ipeen.com.tw/shop/998300
30376,欣欣食堂,24.66688701776,121.65434101877,宜蘭縣三星鄉三星路四段388號,台菜餐廳,150,03-989-5623,35,10,10,5,1,14378,1,http://www.ipeen.com.tw/shop/30376
99000,錦成複合式西點麵包店,24.633873017830002,121.79291001879001,宜蘭縣冬山鄉冬山路109號,西點烘焙、麵包,50,03-959-1479,35,15,15,10,1,13304,1,http://www.ipeen.com.tw/shop/99000
148347,小廚師牛排,24.67625600277,121.7695650033,宜蘭縣羅東鎮公園路與振泰街路口,其他小吃,80,None,35,5,5,5,1,6071,1,http://www.ipeen.com.tw/shop/148347
47025,楊家美食廣場,24.685087508955093,121.77555801600283,宜蘭縣羅東鎮鎮泰街27號,其他小吃,NULL,03-957-2317,35,10,5,5,1,11239,1,http://www.ipeen.com.tw/shop/47025
46536,珍香海產店,24.5823840191,121.86617601283,宜蘭縣蘇澳鎮漁港路82號,休閒零食,NULL,03-996-2473,35,5,5,5,3,12519,1,http://www.ipeen.com.tw/shop/46536
59521,新悅義坊,24.75367100091,121.75056000942,宜蘭縣宜蘭市民權路二段6號 (新月廣場四樓),複合式,120,03-910-1011,35,10,5,15,1,8630,1,http://www.ipeen.com.tw/shop/59521
114719,大排檔,24.827490005970002,121.77237400153,宜蘭縣礁溪鄉礁溪路五段118號,台菜餐廳,NULL,0933-103-013,35,10,8,5,2,7089,1,http://www.ipeen.com.tw/shop/114719
72477,金宴翔餐廳,24.75082100456,121.74112301292,宜蘭縣宜蘭市復興路三段107號,台菜餐廳,NULL,03-932-6628,35,5,5,5,1,11491,1,http://www.ipeen.com.tw/shop/72477
68115,泰屋頂,24.75485201584,121.75071100308,宜蘭縣宜蘭市民權路二段38巷6號4樓-(新月廣場4樓美食街),泰式料理,130,None,35,5,15,5,1,6888,1,http://www.ipeen.com.tw/shop/68115
68118,朝鮮屋,24.75391601662,121.75169200916001,宜蘭縣宜蘭市民權路二段38巷6號4樓(新月廣場店),韓式料理,120,None,35,5,5,5,1,8032,1,http://www.ipeen.com.tw/shop/68118
1020284,礁溪大眾滷味,24.8280493188,121.77282731114,宜蘭縣礁溪鄉礁溪路五段140號,滷味,80,03-988-8534,35,5,5,10,1,2310,1,http://www.ipeen.com.tw/shop/1020284
1011108,太平洋香酥脆皮雞排,24.74883300568,121.74803800753999,宜蘭縣宜蘭市復興路2段71號,鹹酥雞、炸雞排,25,None,35,10,5,5,1,4184,1,http://www.ipeen.com.tw/shop/1011108
1016732,原食點複合式餐飲,24.67252501969,121.76043300298001,宜蘭縣羅東鎮維揚路12-1號,台灣原住民料理,NULL,03-961-1668,35,10,10,10,2,2243,1,http://www.ipeen.com.tw/shop/1016732
992118,鵝妹妹剝骨鵝肉,24.82689281826,121.77401611972999,宜蘭縣礁溪鄉中山路2段176號,其它中式料理,100,None,35,10,5,5,1,3008,1,http://www.ipeen.com.tw/shop/992118
988964,冬山市場早餐店,24.65660310279,121.77911601051001,宜蘭縣冬山鄉冬山路178號市場口,其他類型早餐,43,None,35,15,15,10,1,4665,1,http://www.ipeen.com.tw/shop/988964
1067828,米歐牛排,24.74633470057,121.74929791595,宜蘭縣宜蘭市神農路一段78號號,咖啡專賣,NULL,03-935-6486,35,10,5,10,1,2733,1,http://www.ipeen.com.tw/shop/1067828
1070224,阿琴春捲炸物,24.66616100592,121.65252300704,宜蘭縣三星鄉成功路1號 (藥局旁),蔥油餅、蔥抓餅,NULL,0987-944-887,35,20,10,10,1,1686,1,http://www.ipeen.com.tw/shop/1070224
1071196,陽光田園-羅東店,24.67766960547,121.76656781485,宜蘭縣羅東鎮民生路87號,義式料理,NULL,03-956-9038,35,10,15,10,1,6591,1,http://www.ipeen.com.tw/shop/1071196
1075172,老虎-原-醉鵝,24.689237304549998,121.7701490184,宜蘭縣羅東鎮純精路三段485號,熱炒、快炒,NULL,03-956-6222,35,10,15,10,1,5335,0,http://www.ipeen.com.tw/shop/1075172
631188,圓品燒腊便當,24.68948401969,121.76517101476999,宜蘭縣羅東鎮復興路二段178號,自助餐 便當,NULL,None,35,10,5,10,1,5336,0,http://www.ipeen.com.tw/shop/631188
148667,舜發手工三星蔥油餅-頭城店,24.85481001825,121.82255700209001,宜蘭縣頭城鎮青雲路三段275號,麵食點心,38,03-997-9358,35,8,10,8,2,5257,0,http://www.ipeen.com.tw/shop/148667
156625,小朵拉cafe,24.676107002939997,121.7664530137,宜蘭縣羅東鎮中華路26號,西點烘焙、麵包,NULL,03-957-3887,35,5,10,5,1,4451,0,http://www.ipeen.com.tw/shop/156625
49483,民藝街坊柑仔店-明彥食品行,24.68558701338,121.82405300092,宜蘭縣五結鄉五濱路二段201號,休閒零食,100,0932-164-616,35,5,15,10,1,10633,0,http://www.ipeen.com.tw/shop/49483
53638,鬆餅屋-爆米花,24.774463576755974,121.69862043321828,宜蘭縣員山鄉坡城路42號,其他小吃,60,None,35,5,5,10,1,6770,0,http://www.ipeen.com.tw/shop/53638
93654,逗留Stay,24.64010300933,121.58691201839,宜蘭縣三星鄉泰雅一路458號,飲料專賣店,NULL,03-989-3678,35,10,10,5,1,7884,0,http://www.ipeen.com.tw/shop/93654
114512,呷飽正宗員山魚丸米粉,24.7452100034,121.72598301002,宜蘭縣員山鄉員山路一段236號,台菜餐廳,40,None,35,10,10,10,1,5422,0,http://www.ipeen.com.tw/shop/114512
69790,阿桐魷魚羹,24.676038763316228,121.76772952495773,宜蘭縣羅東鎮民權路1112攤,其他小吃,NULL,0919-292-195,35,5,10,5,1,3767,0,http://www.ipeen.com.tw/shop/69790
1029958,阿欽早餐店,24.68273401104,121.77120001808,宜蘭縣羅東鎮信義里中正北路121號,中式早餐,NULL,03-954-4766,35,15,15,5,1,2372,0,http://www.ipeen.com.tw/shop/1029958
1026500,財伯無煙串烤,24.67217440449,121.75622330081,宜蘭縣羅東鎮維揚路249號,炭烤串燒,150,03-961-0743,35,15,15,10,1,2696,0,http://www.ipeen.com.tw/shop/1026500
1059382,拿坡里披薩‧炸雞-宜蘭店,24.75779331056,121.75660350177,宜蘭縣宜蘭市舊城東路50號1樓(友愛百貨內),披薩,447,03-936-1608,35,10,10,5,1,2190,0,http://www.ipeen.com.tw/shop/1059382
972480,老牛豆花嫩仙草,24.68391051216,121.80300790167,宜蘭縣羅東鎮公園路,飲料專賣店,45,None,35,15,10,5,1,3871,0,http://www.ipeen.com.tw/shop/972480
984130,阿進紅面薑母鴨,24.67445370318,121.76776240065999,宜蘭縣羅東鎮民族路92號,薑母鴨,240,03-956-4744,35,10,5,5,2,2652,0,http://www.ipeen.com.tw/shop/984130
921078,Wild-Kids-野孩子田園廚房,24.67851710262,121.79429200196,宜蘭縣五結鄉福和二路50號,複合式,400,None,35,10,5,10,2,6868,10,http://www.ipeen.com.tw/shop/921078
969538,頭城麻醬麵蛤蜊湯,24.74736601624,121.73559601625,宜蘭縣宜蘭市女中路3段531號,麵食點心,35,03-935-2898,35,8,3,3,3,6268,8,http://www.ipeen.com.tw/shop/969538
936528,錦之堂,24.6767140069,121.76635101823999,宜蘭縣羅東鎮中華路29-2號,綜合日式料理,160,03-955-2280,35,8,10,10,3,4743,7,http://www.ipeen.com.tw/shop/936528
629706,廟口紅糟魷魚-礁溪店,24.82347110152,121.77056900379999,宜蘭縣礁溪鄉礁溪路四段198號,其它中式料理,280,03-988-0656,35,15,5,5,2,7576,6,http://www.ipeen.com.tw/shop/629706
73516,大芳園,24.58317801105,121.86492300035,宜蘭縣蘇澳鎮海邊路145號,熱炒、快炒,350,03-995-5770,35,8,5,8,4,9608,4,http://www.ipeen.com.tw/shop/73516
43845,劉姊姊飯糰,24.59580700154,121.84359900057,宜蘭縣蘇澳鎮中山路一段280號,其他小吃,35,03-996-2687,35,8,8,8,3,13322,3,http://www.ipeen.com.tw/shop/43845
52741,三寶大腸麵線,24.677385452191466,121.76842469845344,宜蘭縣羅東鎮興東路8-1號,其他小吃,50,03-957-1732,35,10,5,10,2,4991,2,http://www.ipeen.com.tw/shop/52741
113553,天一小館,24.75014711486,121.77315700288,宜蘭縣宜蘭市東港路13號-50,台菜餐廳,200,03-937-3132,35,12,10,10,6,9211,2,http://www.ipeen.com.tw/shop/113553
59524,楊婆婆米粉煎,24.74839599393043,121.7499670717053,宜蘭縣宜蘭市神農路,麵食點心,23,03-936-6251,35,10,10,5,3,8463,1,http://www.ipeen.com.tw/shop/59524
58396,宜蘭古早味料理,24.8269220185,121.77405001851,宜蘭縣礁溪鄉中山路二段178號(礁溪分局對面),台菜餐廳,183,0932-451-089,35,7,9,7,3,17215,1,http://www.ipeen.com.tw/shop/58396
999462,老先覺麻辣窯燒鍋-礁溪溫泉店,24.82710110978,121.77486701302,宜蘭縣礁溪鄉溫泉路15號,涮涮鍋,NULL,03-987-5686,35,10,5,10,2,3795,1,http://www.ipeen.com.tw/shop/999462
1064344,日式岩燒無骨雞腿排,24.678087017880003,121.77056701734,宜蘭縣羅東鎮羅東夜市,炭烤串燒,40,None,35,10,8,8,2,1514,0,http://www.ipeen.com.tw/shop/1064344
48613,川東牛肉麵-羅東夜市店,24.67606313698718,121.76830889123495,宜蘭縣羅東鎮民權路(羅東夜市內),其他小吃,88,None,35,5,5,5,3,8958,1,http://www.ipeen.com.tw/shop/48613
